   n, x, y, z
  493, -3, 2, 8
  494, -403, -372, 489
  495, 3, 5, 7
  496, 4, 6, 6
  497, -29, 21, 25
  498, -1112, -803, 1237
  499, , , 
  500, , , 
  502, -163, -126, 185
  503, -2, -1, 8
  504, -2, 0, 8
  505, -2, 1, 8
  506, -14, -5, 15
  507, -10148, 676, 10147
  508, , , 
  509, , , 
  510, -1, -1, 8
  511, -1, 0, 8
  512, 0, 0, 8
  513, 0, 1, 8
  514, 1, 1, 8
  515, -8, 3, 10
  517, , , 
  518, , , 
  519, -1, 2, 8
  520, 0, 2, 8
  521, 1, 2, 8
  522, -11, 5, 12
  523, -11, -7, 13
  524, -23, 18, 19
  525, -35, 16, 34
  526, , , 
  527, , , 
  528, 2, 2, 8
  529, -16, -15, 20
  531, -2, 3, 8
  532, 4, 5, 7
  533, -12, 4, 13
  535, , , 
  536, , , 
  537, -28, 17, 26
  538, -1, 3, 8
  539, 0, 3, 8
  540, 1, 3, 8
  541, -27, -12, 28
  543, -212, -116, 223
  544, , , 
  545, , , 
  546, -13, -1, 14
  547, 2, 3, 8
  548, -13, 1, 14
  549, -3, 4, 8
  550, -15, 12, 13
  551, -2, 6, 7
  552, -8, 4, 10
  553, , , 
  554, , , 
  555, -13, 2, 14
  557, 5, 6, 6
  558, -1, 6, 7
  559, 0, 6, 7
  560, 1, 6, 7
  561, -5, 7, 7
  562, , , 
  563, , , 
  565, -21, 17, 17
  566, 3, 3, 8
  567, 2, 6, 7
  568, -2, 4, 8
  569, -77, -33, 79
  570, -551, 268, 529
  571, , , 
  572, , , 
  573, -4, 5, 8
  574, -13, 3, 14
  575, -1, 4, 8
  576, 0, 4, 8
  577, 1, 4, 8
  578, -219, 166, 181
  580, , , 
  581, , , 
  582, -73, -25, 74
  583, -48223, -17419, 48969
  584, 2, 4, 8
  585, -39, -16, 40
  586, 3, 6, 7
  587, -20, 12, 19
  589, , , 
  590, , , 
  591, -244, -145, 260
  592, -186, 47, 185
  593, 5, 5, 7
  594, -9, -2, 11
  595, -39, 21, 37
  596, -5, -2, 9
  597, -4991, 2461, 4783
  598, , , 
  599, , , 
  601, -4, -4, 9
  602, -7, 6, 9
  603, 3, 4, 8
  604, -5, 0, 9
  605, -5, 1, 9
  607, , , 
  608, , , 
  610, -3, 5, 8
  611, -13, 4, 14
  612, -5, 2, 9
  613, -8, 5, 10
  614, -9, 7, 10
  615, -17, -11, 19
  616, , , 
  617, , , 
  619, -33, 23, 29
  620, -25, -11, 26
  621, -434, -403, 528
  622, -4, 7, 7
  623, 4, 6, 7
  624, -110, 52, 106
  625, , , 
  626, , , 
  628, -1099, 776, 951
  629, -2, 5, 8
  630, -7, -3, 10
  631, -5, 3, 9
  632, -14, 1, 15
  634, , , 
  635, , , 
  636, -1, 5, 8
  637, 0, 5, 8
  638, 1, 5, 8
  639, -6, 7, 8
  640, 4, 4, 8
  641, -3908, -2312, 4161
  642, -4991, -1250, 5017
  643, , , 
  644, , , 
  645, 2, 5, 8
  646, -175, -171, 218
  647, -12, -10, 15
  648, 6, 6, 6
  649, -7, -2, 10
  650, -11, -6, 13
  651, -134, -77, 142
  652, , , 
  653, , , 
  654, -73, -73, 92
  655, -46, -18, 47
  656, -7, -1, 10
  657, -4, -2, 9
  658, -7, 1, 10
  659, -3, 7, 7
  661, , , 
  662, , , 
  664, 3, 5, 8
  665, -4, 0, 9
  666, -4, 1, 9
  667, -21, 16, 18
  668, -5, 4, 9
  669, -11, 10, 10
  670, , , 
  671, , , 
  672, -13, 5, 14
  673, -4, 2, 9
  674, -10, 7, 11
  675, -3, -3, 9
  676, -197, -78, 201
  677, -956, -140, 957
  678, -2, 7, 7
  679, , , 
  680, , , 
  681, -7, 8, 8
  682, -1384, 729, 1313
  683, -25, -15, 27
  684, 5, 6, 7
  685, -1, 7, 7
  686, 0, 7, 7
  687, 1, 7, 7
  688, , , 
  689, , , 
  690, -163, -43, 164
  691, -637, 300, 614
  692, -4, 3, 9
  693, -56, 44, 45
  694, 2, 7, 7
  695, -14, 4, 15
  696, -8252, -3944, 8542
  697, , , 
  698, , , 
  699, -61, -22, 62
  700, -15, 11, 14
  701, 4, 5, 8
  702, -3, 0, 9
  703, -3, 1, 9
  704, -8, 6, 10
  705, -1082, 241, 1078
  706, , , 
  707, , , 
  708, -4243, -2833, 4628
  709, -21, -13, 23
  710, -3, 2, 9
  711, -36, 26, 31
  712, -14, 12, 12
  713, 3, 7, 7
  714, -23, -14, 25
  715, , , 
  716, , , 
  717, -115, -34, 116
  718, -3343, 1182, 3293
  719, -84, -81, 104
  720, -2, 6, 8
  721, -2, 0, 9
  722, -2, 1, 9
  723, -77, 58, 64
  724, , , 
  725, , , 
  726, -877, -772, 1043
  727, -1, 6, 8
  728, 0, 6, 8
  729, 1, 6, 8
  730, 0, 1, 9
  731, 1, 1, 9
  733, , , 
  734, , , 
  736, 2, 6, 8
  737, 0, 2, 9
  738, 1, 2, 9
  739, -9, -9, 13
  740, -11, 7, 12
  741, -11, -5, 13
  742, , , 
  743, , , 
  744, -10, -10, 14
  745, 2, 2, 9
  746, -23, 17, 20
  747, -338, -70, 339
  748, -2, 3, 9
  749, -20, -8, 21
  750, 4, 7, 7
  751, , , 
  752, , , 
  753, -16, -4, 17
  755, 3, 6, 8
  756, 0, 3, 9
  757, 1, 3, 9
  759, -83, 43, 79
  760, , , 
  761, , , 
  762, 5, 5, 8
  763, -13, 6, 14
  764, 2, 3, 9
  765, -6858, 890, 6853
  766, -3, 4, 9
  768, -44, 28, 40
  769, , , 
  770, , , 
  771, -52, -40, 59
  772, -7, -6, 11
  773, -94, 30, 93
