# List of solutions for: n = x³ + y³ + z³  with n=[0..10000] and negative z
5750 = 44³ + 29³ - 47³
8361 = 44³ + 30³ - 47³
4383 = 44³ + 31³ - 48³
7360 = 44³ + 32³ - 48³
3472 = 44³ + 33³ - 49³
6839 = 44³ + 34³ - 49³
3059 = 44³ + 35³ - 50³
6840 = 44³ + 36³ - 50³
3186 = 44³ + 37³ - 51³
7405 = 44³ + 38³ - 51³
3895 = 44³ + 39³ - 52³
8576 = 44³ + 40³ - 52³
5228 = 44³ + 41³ - 53³
1808 = 44³ + 42³ - 54³
7227 = 44³ + 43³ - 54³
4437 = 45³ + 22³ - 46³
5956 = 45³ + 23³ - 46³
7613 = 45³ + 24³ - 46³
9414 = 45³ + 25³ - 46³
4878 = 45³ + 26³ - 47³
9254 = 45³ + 28³ - 47³
4922 = 45³ + 29³ - 48³
7533 = 45³ + 30³ - 48³
3267 = 45³ + 31³ - 49³
6244 = 45³ + 32³ - 49³
9413 = 45³ + 33³ - 49³
5429 = 45³ + 34³ - 50³
9000 = 45³ + 35³ - 50³
5130 = 45³ + 36³ - 51³
9127 = 45³ + 37³ - 51³
5389 = 45³ + 38³ - 52³
9836 = 45³ + 39³ - 52³
6248 = 45³ + 40³ - 53³
2582 = 45³ + 41³ - 54³
7749 = 45³ + 42³ - 54³
4257 = 45³ + 43³ - 55³
9934 = 45³ + 44³ - 55³
4161 = 46³ + 22³ - 47³
5680 = 46³ + 23³ - 47³
7337 = 46³ + 24³ - 47³
9138 = 46³ + 25³ - 47³
4320 = 46³ + 26³ - 48³
6427 = 46³ + 27³ - 48³
8696 = 46³ + 28³ - 48³
4076 = 46³ + 29³ - 49³
6687 = 46³ + 30³ - 49³
9478 = 46³ + 31³ - 49³
5104 = 46³ + 32³ - 50³
3989 = 46³ + 34³ - 51³
7560 = 46³ + 35³ - 51³
3384 = 46³ + 36³ - 52³
7381 = 46³ + 37³ - 52³
3331 = 46³ + 38³ - 53³
7778 = 46³ + 39³ - 53³
3872 = 46³ + 40³ - 54³
8793 = 46³ + 41³ - 54³
5049 = 46³ + 42³ - 55³
1227 = 46³ + 43³ - 56³
6904 = 46³ + 44³ - 56³
3268 = 46³ + 45³ - 57³
3879 = 47³ + 22³ - 48³
5398 = 47³ + 23³ - 48³
7055 = 47³ + 24³ - 48³
8856 = 47³ + 25³ - 48³
3750 = 47³ + 26³ - 49³
5857 = 47³ + 27³ - 49³
3212 = 47³ + 29³ - 50³
5823 = 47³ + 30³ - 50³
8614 = 47³ + 31³ - 50³
3940 = 47³ + 32³ - 51³
7109 = 47³ + 33³ - 51³
2519 = 47³ + 34³ - 52³
6090 = 47³ + 35³ - 52³
9871 = 47³ + 36³ - 52³
5599 = 47³ + 37³ - 53³
9818 = 47³ + 38³ - 53³
5678 = 47³ + 39³ - 54³
1448 = 47³ + 40³ - 55³
6369 = 47³ + 41³ - 55³
2295 = 47³ + 42³ - 56³
7714 = 47³ + 43³ - 56³
3814 = 47³ + 44³ - 57³
9755 = 47³ + 45³ - 57³
6047 = 47³ + 46³ - 58³
3591 = 48³ + 22³ - 49³
5110 = 48³ + 23³ - 49³
6767 = 48³ + 24³ - 49³
8568 = 48³ + 25³ - 49³
3168 = 48³ + 26³ - 50³
5275 = 48³ + 27³ - 50³
7544 = 48³ + 28³ - 50³
9981 = 48³ + 29³ - 50³
4941 = 48³ + 30³ - 51³
7732 = 48³ + 31³ - 51³
2752 = 48³ + 32³ - 52³
5921 = 48³ + 33³ - 52³
9288 = 48³ + 34³ - 52³
4590 = 48³ + 35³ - 53³
8371 = 48³ + 36³ - 53³
3781 = 48³ + 37³ - 54³
3536 = 48³ + 39³ - 55³
8217 = 48³ + 40³ - 55³
3897 = 48³ + 41³ - 56³
9064 = 48³ + 42³ - 56³
4906 = 48³ + 43³ - 57³
664 = 48³ + 44³ - 58³
6605 = 48³ + 45³ - 58³
